Ticker,MeanReturn,Volatility,Trend,MaxDrawdown,LogAvgVolume
ARCB,-0.0002019389738019291,0.027944361490902046,-0.0008598637273266965,-0.5076621077663187,12.5153253332727
ARCC,0.0003524575492583118,0.008627630924043504,0.0003475260106771105,-0.16325369158215872,14.456480830049696
ARCH,-0.00031877637889204285,0.022185266032957632,-0.0002898518838904607,-0.31178633513382803,12.541399686761954
ARCO,-0.0002073346661126707,0.022381001093598637,-0.0004236984194493017,-0.4156097784274962,13.235019453004321
ARDX,0.0014910841435722382,0.05495545321206201,-0.0005403700703987661,-0.78987342448327,13.118990710267584
ARE,0.0005010738875857527,0.01154781208853709,0.0005711037317430363,-0.15123524208546427,13.44403708564507
ARES,0.0013141163184415263,0.018919695434083266,0.0007977136841591893,-0.3318811548818456,13.33312748703663
ARI,2.9037866719508267e-05,0.00802166447462617,2.421824910615704e-05,-0.1465164212746756,14.019927656670706
ARLP,-0.0010691213555427796,0.018088442734353994,-0.0007685238514842854,-0.5400922031633859,13.107947452559864
ARMK,0.00013953735869640094,0.016339064087611883,-9.194085981099016e-05,-0.40204394441507685,14.739862234223942
ARMP,-0.0009316681289628087,0.06333358999221875,-0.00406296263587077,-0.9037433173586209,11.898181144162974
AROC,0.0003406534444501986,0.02585693332167937,-0.0002936286241819496,-0.4556776530416761,13.93038856609445
AROW,0.0004314291961829977,0.014326547319109602,3.186196315628953e-05,-0.19968996848793696,9.740758450094019
ARR,-0.0006614758816089697,0.00979647558238647,-0.0008104442086503482,-0.3620689500539245,13.390451869475497
ARW,0.0002086403873752811,0.015715458139461277,-0.00010387919494413789,-0.27927308387594996,13.202175820306236
ASB,-0.0001712399293153952,0.014928915598229784,-0.0006487664632548777,-0.35389950976843454,14.015580246362283
ASC,0.0006211473523569675,0.028345794844922202,-5.484390733244173e-05,-0.48208089980994867,12.247747744045762
ASH,0.00018775973446123027,0.01397831260244925,4.565572770988454e-05,-0.24189991503206013,13.460079948863669
ASIX,-0.0011745382816597714,0.02572742682951551,-0.0013256379793444106,-0.5580865844140338,12.18699523293583
ASM,-0.0011556627028209787,0.0366536882813729,-0.0023311521804451328,-0.7388535141872338,12.521805186150763
ASML,0.0012161672887381944,0.019996112661247144,0.0005421570330243992,-0.34319233939395277,13.615012728717398
ASND,0.0032457592290939296,0.04304482207765416,0.0017979304868108632,-0.3076690174605649,12.30092097100056
